coding_consistency,assessment_score,project_quality,github_authenticity,defense_score,projects_completed,verified
82,31,81,54,57,4,0
30,92,32,88,21,1,0
100,43,80,90,36,3,1
27,55,55,58,92,4,0
54,59,83,47,55,2,0
54,81,82,70,92,4,1
52,85,36,48,21,3,0
24,55,72,33,53,0,0
60,77,55,94,46,5,1
47,56,87,70,56,5,0
26,90,98,44,90,6,1
92,83,63,83,41,5,1
91,34,100,93,87,0,1
31,26,44,44,33,3,0
53,90,72,79,42,6,1
52,84,95,51,63,1,1
67,41,78,47,84,4,0
42,40,99,31,98,3,0
81,40,95,65,97,0,1
56,70,53,49,80,6,0
63,63,98,45,74,2,1
54,55,97,96,90,5,1
84,25,72,59,69,5,0
66,35,98,84,31,3,0
97,28,80,95,98,5,1
22,95,41,55,34,5,0
20,50,33,86,36,3,0
24,74,58,98,53,3,0
33,36,69,31,54,6,0
46,99,33,85,58,0,0
28,89,31,91,97,0,0
98,71,40,63,74,5,1
34,77,43,85,78,6,0
61,95,30,84,24,3,0
96,26,35,49,49,3,0
70,48,100,79,23,5,0
82,28,85,54,34,1,0
71,43,66,54,54,2,0
23,50,37,82,93,4,0
42,99,36,43,74,4,0
34,64,98,89,85,5,1
62,74,44,72,79,6,1
48,67,74,91,43,4,0
55,99,60,98,41,0,1
32,91,93,92,63,6,1
51,36,61,31,51,6,0
90,91,36,83,70,0,1
78,51,64,45,22,1,0
47,78,78,84,89,5,1
85,90,26,72,51,0,0
61,73,74,90,21,5,0
64,40,65,67,78,5,0
81,26,69,74,92,6,1
76,84,33,80,96,3,1
25,78,86,71,33,2,0
47,54,71,53,70,2,0
47,62,29,59,30,5,0
63,52,100,66,97,2,1
49,49,25,82,99,2,0
81,34,68,92,29,4,0
94,84,46,40,99,6,1
81,66,62,52,77,4,1
20,64,43,79,53,3,0
46,66,55,84,99,1,1
81,71,91,84,97,6,1
96,61,66,33,72,0,0
22,46,50,83,47,0,0
89,81,37,90,37,4,1
91,51,82,34,45,5,0
46,65,42,47,26,2,0
28,58,91,73,64,3,0
81,56,27,60,64,1,0
56,90,79,50,90,4,1
70,36,82,76,54,5,0
63,64,87,59,71,3,1
43,97,76,84,40,5,1
98,100,48,97,47,3,1
78,97,96,98,63,4,1
51,34,33,70,99,3,0
71,72,61,74,75,6,1
81,44,77,59,29,2,0
77,63,48,74,42,3,0
71,84,45,74,67,1,1
31,90,64,74,71,3,0
58,89,86,84,34,6,1
21,75,94,88,74,0,1
22,60,93,34,62,6,0
75,48,38,61,69,3,0
100,51,66,35,25,5,0
78,26,74,55,52,4,0
21,55,85,66,81,0,0
21,81,28,42,74,4,0
73,90,96,98,58,5,1
20,53,99,54,31,1,0
38,39,41,42,50,2,0
21,36,81,49,93,1,0
72,52,72,89,72,0,1
63,48,68,50,53,5,0
51,45,69,90,60,5,0
89,34,57,55,29,2,0
51,42,55,83,71,3,0
87,38,71,71,94,0,1
74,58,30,40,76,2,0
94,82,96,66,97,6,1
75,100,95,40,22,6,1
36,46,58,56,76,4,0
57,94,77,63,52,2,1
43,60,38,67,26,4,0
88,69,40,90,23,6,0
89,60,67,82,58,6,1
30,46,97,94,67,4,1
35,85,98,32,93,5,1
92,80,36,96,98,2,1
78,57,94,57,35,5,1
89,69,43,43,57,6,0
99,60,65,81,23,5,1
22,44,77,59,23,1,0
39,42,53,87,46,1,0
78,62,94,83,36,5,1
55,91,83,98,89,5,1
38,47,88,44,73,4,0
86,40,48,67,27,5,0
38,83,40,43,72,0,0
39,93,76,86,24,2,0
90,92,30,88,88,0,1
71,45,61,37,66,1,0
52,94,28,48,93,0,0
59,36,62,61,59,3,0
58,40,65,58,26,3,0
20,38,38,70,31,1,0
30,85,95,74,44,0,0
76,95,75,42,47,2,1
69,70,89,56,62,1,1
42,56,76,48,96,3,0
50,39,54,55,66,1,0
61,68,81,82,68,0,1
26,41,54,80,73,0,0
35,65,66,66,37,0,0
79,78,35,38,46,4,0
21,68,51,81,91,0,0
20,29,48,83,25,5,0
67,51,63,32,94,3,0
31,67,96,98,88,6,1
88,55,42,37,90,3,0
56,41,69,43,41,4,0
51,78,36,32,78,3,0
28,86,73,53,66,3,0
38,56,55,42,87,1,0
67,64,46,72,51,6,0
99,37,68,58,20,6,0
22,59,88,80,73,0,0
39,29,49,71,65,5,0
43,97,75,60,60,5,1
73,53,31,92,60,1,0
52,94,30,55,27,5,0
43,49,48,47,51,1,0
94,46,43,86,49,6,0
91,90,33,36,65,6,1
55,69,60,77,71,6,1
57,93,64,89,80,5,1
44,96,48,62,32,3,0
37,25,72,32,59,6,0
85,68,87,33,80,2,1
73,99,93,33,63,0,1
54,63,77,71,81,2,1
99,78,78,38,63,3,1
80,99,66,80,67,4,1
60,53,69,46,93,1,0
52,78,38,46,78,5,0
87,40,53,49,76,5,0
52,44,30,43,30,3,0
33,70,31,51,44,5,0
40,91,61,81,80,3,1
67,89,77,56,65,2,1
39,82,42,72,73,4,0
27,77,62,32,53,1,0
26,25,83,37,26,5,0
86,90,25,39,81,4,1
36,53,92,58,76,4,0
52,94,68,69,95,4,1
67,32,71,94,24,0,0
95,53,59,50,95,4,1
78,75,84,53,54,6,1
41,57,76,89,56,3,0
49,27,32,55,79,0,0
57,84,65,38,84,6,1
70,59,27,49,35,0,0
73,93,93,85,49,4,1
27,100,38,65,92,5,1
46,44,50,65,61,5,0
46,97,94,51,80,5,1
40,63,82,30,93,5,0
49,28,64,98,96,3,0
47,43,75,66,67,5,0
83,69,29,42,81,1,0
88,67,56,72,83,4,1
80,37,25,66,76,0,0
67,37,78,54,87,1,0
38,84,35,50,65,5,0
23,81,77,70,47,1,0
54,76,32,71,96,0,0
83,77,49,71,22,5,0
68,67,64,31,56,1,0
36,96,56,97,67,3,1
63,96,52,37,38,3,0
49,66,27,90,36,4,0
65,50,86,43,59,4,0
25,47,51,50,69,6,0
56,67,69,53,92,1,1
43,52,49,79,48,0,0
65,33,85,74,70,3,0
72,44,68,93,61,2,0
79,80,70,93,48,4,1
82,63,38,55,85,6,1
51,75,32,61,36,3,0
52,36,72,86,50,6,0
86,79,38,82,71,5,1
37,35,89,62,58,1,0
44,50,31,81,79,6,0
73,66,73,47,70,3,1
77,51,79,64,35,3,0
86,35,37,41,33,1,0
65,62,97,80,61,4,1
43,67,80,39,70,4,0
51,43,80,81,43,2,0
66,88,39,63,62,2,0
42,30,81,96,92,4,1
85,70,82,68,38,4,1
46,66,59,37,80,6,0
21,89,40,58,82,4,0
36,96,32,51,45,4,0
52,83,69,99,54,3,1
28,76,64,90,86,2,1
62,71,78,72,75,1,1
67,31,38,78,59,0,0
58,35,83,58,48,1,0
61,85,77,60,25,5,0
45,92,51,82,71,0,0
69,49,71,63,20,3,0
44,36,30,67,71,5,0
43,50,79,86,43,2,0
32,36,68,33,53,0,0
79,67,42,31,26,4,0
26,75,40,41,94,5,0
76,61,36,64,30,3,0
55,70,44,99,55,0,0
64,77,69,50,39,4,0
39,37,88,90,82,5,1
84,78,83,64,99,3,1
27,81,46,77,82,5,0
35,28,71,44,88,0,0
33,99,53,100,49,4,1
95,73,69,44,49,2,1
34,31,33,35,41,6,0
85,35,48,97,80,3,1
51,78,39,51,40,0,0
82,69,60,61,56,4,1
70,47,37,51,46,2,0
44,52,68,56,54,5,0
77,81,95,44,57,4,1
82,50,96,73,79,6,1
81,49,100,38,89,2,1
41,78,60,63,51,0,0
77,53,85,44,99,4,1
77,60,64,91,99,6,1
68,38,51,74,46,4,0
71,59,25,87,22,1,0
61,54,58,48,68,3,0
89,41,92,45,49,4,0
34,91,45,37,41,6,0
73,54,57,62,38,2,0
79,69,31,47,50,3,0
27,75,89,64,39,0,0
72,71,27,72,38,6,0
79,77,75,79,21,3,0
24,88,78,32,59,1,0
87,62,98,88,58,0,1
25,88,83,57,91,4,1
66,31,30,75,73,6,0
74,46,53,93,46,5,0
59,65,41,99,98,0,1
71,98,84,76,31,6,1
35,34,46,43,97,0,0
32,81,48,36,90,1,0
49,31,75,60,36,2,0
38,74,74,80,29,0,0
36,76,35,58,38,6,0
82,57,80,44,49,2,0
38,25,95,54,49,3,0
77,77,66,90,44,5,1
74,84,63,70,93,1,1
81,58,93,98,85,4,1
42,28,72,33,54,6,0
28,41,81,86,70,6,0
31,28,45,60,90,6,0
20,67,44,32,90,0,0
77,28,39,96,46,5,0
20,25,93,79,29,5,0
53,95,75,46,62,2,1
67,74,100,89,74,0,1
20,97,86,95,90,6,1
35,85,61,53,25,5,0
80,59,30,61,25,6,0
83,32,95,48,96,6,1
82,48,50,95,67,6,1
88,60,32,89,96,1,1
41,74,97,95,21,4,0
86,67,28,44,70,3,0
95,51,45,64,80,3,1
45,56,55,98,38,2,0
35,42,45,56,21,5,0
70,52,49,36,70,3,0
76,53,39,35,45,2,0
48,40,59,62,89,4,0
97,71,73,87,39,6,1
88,83,67,78,42,0,1
66,55,65,46,73,1,0
81,28,61,71,34,4,0
88,61,81,69,25,4,0
95,41,66,75,54,3,0
35,63,71,100,94,3,1
67,72,85,99,27,1,1
58,70,38,97,76,0,0
52,72,92,30,69,4,0
42,63,77,81,68,5,1
29,28,58,64,40,3,0
88,54,100,98,55,4,1
53,54,48,34,90,0,0
71,46,44,46,88,2,0
29,99,93,82,77,0,1
38,90,54,81,82,4,1
77,36,31,43,35,4,0
20,60,60,58,25,1,0
88,42,62,37,97,4,1
23,77,76,30,71,3,0
35,95,39,58,21,5,0
43,25,70,65,96,1,0
99,82,47,80,37,4,1
21,30,36,66,100,0,0
51,94,68,98,95,4,1
43,68,39,82,54,0,0
31,96,73,81,58,0,0
69,48,45,41,20,4,0
54,43,39,81,56,0,0
52,42,38,30,40,5,0
52,54,66,36,20,2,0
80,66,39,46,23,1,0
70,57,87,72,77,4,1
62,98,92,100,20,6,1
31,36,51,46,32,2,0
86,51,77,88,65,0,1
84,63,76,32,66,0,0
52,33,87,58,100,1,0
59,45,97,51,95,2,1
93,100,77,67,26,2,1
62,53,81,83,70,4,1
63,57,76,79,22,0,0
48,86,67,98,69,6,1
32,39,31,59,45,3,0
31,26,66,52,50,6,0
65,76,28,76,81,4,0
21,68,93,50,45,4,0
54,78,29,49,86,4,0
100,42,99,52,74,1,1
27,27,65,97,47,1,0
45,31,28,50,63,4,0
93,67,26,50,100,5,1
53,62,91,30,57,3,0
26,61,45,44,49,2,0
87,82,94,46,85,2,1
77,57,67,80,27,0,0
94,83,93,92,33,2,1
48,35,33,43,81,6,0
55,92,52,88,94,2,1
40,92,50,79,82,3,1
55,46,27,63,98,2,0
29,90,97,35,85,6,1
92,68,73,78,59,3,1
43,30,41,35,32,1,0
83,66,87,98,36,3,1
68,49,79,36,34,1,0
55,81,47,80,52,3,0
43,79,58,30,35,4,0
42,40,93,42,32,6,0
81,38,39,72,42,5,0
56,63,71,56,55,1,0
31,52,27,100,62,1,0
74,75,52,32,69,2,0
32,73,27,87,93,1,0
42,33,28,46,100,3,0
49,82,55,74,32,4,0
36,69,69,87,49,4,0
81,46,83,85,76,2,1
32,56,69,83,49,3,0
78,93,99,58,90,3,1
38,93,61,83,29,0,0
68,66,89,56,85,1,1
31,77,33,74,58,2,0
80,83,41,60,56,4,0
38,98,89,65,22,6,0
95,63,27,90,53,5,1
28,39,50,66,57,0,0
90,95,77,96,33,3,1
47,53,55,65,83,1,0
97,27,50,34,58,4,0
71,34,47,75,73,6,0
35,53,54,81,21,0,0
88,59,34,78,62,3,0
31,30,96,35,72,4,0
44,36,88,39,22,4,0
71,62,46,52,60,3,0
72,43,39,46,27,3,0
42,91,80,73,94,2,1
35,32,98,70,82,4,0
76,32,44,44,84,3,0
58,71,71,73,98,5,1
72,28,77,87,23,6,0
61,75,77,79,87,6,1
77,91,25,81,29,5,0
58,69,26,99,94,6,1
33,32,82,97,69,0,0
24,40,43,92,42,6,0
54,91,86,87,80,1,1
94,33,96,52,66,6,1
37,84,36,73,22,5,0
95,95,50,73,36,2,1
28,39,51,81,41,3,0
93,95,53,96,35,1,1
77,65,39,57,99,2,1
36,46,70,96,22,4,0
26,48,25,47,71,1,0
65,68,84,56,52,5,1
32,25,81,80,61,2,0
59,34,27,89,21,3,0
61,96,42,78,58,3,1
28,80,76,44,65,6,0
69,74,84,97,67,2,1
46,36,58,44,46,4,0
85,84,84,80,34,6,1
24,50,50,77,26,5,0
48,65,96,30,76,2,0
56,60,43,36,61,0,0
57,47,46,82,28,2,0
27,67,57,60,25,2,0
84,30,62,47,76,5,0
36,93,59,41,95,3,1
90,67,91,77,49,6,1
64,49,34,59,74,4,0
23,42,39,36,73,6,0
55,86,35,32,46,2,0
89,37,48,92,78,1,1
50,67,28,35,26,3,0
38,52,37,44,59,3,0
80,42,97,100,91,2,1
73,83,81,72,21,5,1
58,84,61,47,33,1,0
93,87,72,51,29,2,1
38,81,95,90,69,1,1
58,75,25,90,37,3,0
86,80,84,82,37,1,1
64,51,36,55,35,6,0
32,56,45,69,71,2,0
77,33,35,37,88,0,0
39,92,68,50,71,0,0
91,70,82,72,50,1,1
80,91,68,50,42,5,1
58,50,58,32,61,2,0
20,32,49,60,100,4,0
22,30,28,56,81,0,0
96,48,88,56,96,3,1
81,72,40,86,69,6,1
82,69,34,62,96,2,1
44,37,90,73,100,2,1
75,93,59,72,34,6,1
52,49,30,60,63,0,0
57,44,43,94,61,6,0
25,90,83,46,64,6,0
77,98,77,44,54,4,1
63,69,32,63,41,6,0
64,71,34,33,93,3,0
51,87,91,57,94,4,1
64,100,62,31,57,3,0
80,79,53,46,89,0,1
66,99,39,87,83,2,1
40,43,47,38,26,3,0
99,59,70,60,63,2,1
94,77,52,95,95,1,1
55,50,50,91,26,1,0
38,38,34,48,85,0,0
39,69,71,84,79,0,0
76,68,28,57,20,5,0
37,89,79,79,81,0,1
66,75,90,94,37,1,1
68,67,91,32,26,3,0
33,47,31,81,73,6,0
34,80,79,39,86,6,1
50,43,55,50,29,6,0
20,100,98,66,80,4,1
73,79,43,44,78,6,1
22,84,52,38,78,0,0
35,83,52,73,88,6,1
76,57,43,68,82,4,1
94,43,44,34,27,4,0
31,52,37,54,97,1,0
93,76,67,85,74,5,1
35,73,35,93,25,3,0
91,61,72,81,20,1,0
95,50,39,38,75,0,0
43,64,41,39,94,1,0
47,62,78,39,29,1,0
27,78,74,91,42,1,0
55,46,52,89,35,0,0
27,40,28,48,35,0,0
77,52,46,67,75,1,0
79,59,63,35,25,1,0
69,84,58,44,49,4,0
47,69,68,76,82,3,1
60,70,66,74,20,4,0
83,96,64,34,70,5,1
46,79,36,82,65,3,0
82,50,26,95,40,5,0
36,49,52,91,57,3,0
92,89,98,52,88,1,1
52,30,91,73,82,4,1
96,47,95,81,69,3,1
48,88,96,75,31,5,1
32,67,100,48,88,3,1
65,47,34,76,92,0,0
54,54,81,81,63,3,1
25,42,61,53,71,6,0
88,45,88,46,28,1,0
66,81,64,75,84,2,1
44,47,84,93,29,0,0
85,69,72,57,65,2,1
29,68,43,79,77,1,0
75,71,96,93,56,6,1
49,64,57,57,71,2,0
24,75,68,85,100,3,1
52,66,61,88,32,2,0
84,31,60,34,25,4,0
37,74,45,83,77,1,0
68,72,26,73,67,4,0
30,30,55,71,51,2,0
45,33,54,86,30,6,0
82,81,100,76,100,4,1
78,55,68,54,24,0,0
46,45,36,73,25,2,0
68,64,75,44,93,5,1
96,69,73,80,40,4,1
52,73,48,82,61,3,0
20,44,48,63,100,2,0
40,41,84,37,46,6,0
74,52,35,99,22,5,0
25,65,37,50,79,6,0
100,90,96,36,85,0,1
88,49,98,85,68,3,1
24,82,96,78,53,2,0
22,65,88,71,56,6,0
72,30,44,52,61,3,0
42,99,96,81,84,2,1
72,62,97,82,79,2,1
56,30,95,45,20,1,0
93,69,52,66,78,4,1
93,99,26,47,23,2,0
36,38,67,49,33,0,0
97,90,32,75,37,5,1
92,64,37,31,53,4,0
20,27,59,92,20,1,0
70,48,47,32,72,4,0
64,43,70,75,41,4,0
96,42,39,78,99,2,1
23,88,26,30,80,0,0
81,59,85,51,41,2,0
84,86,100,43,69,6,1
51,25,88,74,35,0,0
53,49,76,35,47,6,0
91,69,60,94,89,0,1
58,73,91,50,61,3,1
45,40,93,33,85,2,0
53,43,91,32,90,6,1
73,47,71,59,100,1,1
22,49,26,60,54,5,0
69,40,68,63,39,4,0
31,78,88,49,21,3,0
84,97,52,83,26,6,1
73,25,78,54,68,1,0
24,66,98,44,95,5,1
76,43,91,67,28,5,0
36,58,60,52,46,2,0
66,79,87,81,97,0,1
42,42,49,95,21,6,0
98,58,72,86,87,2,1
33,69,63,86,79,5,1
85,30,71,81,68,2,0
94,45,45,64,21,3,0
70,94,54,43,36,6,0
57,72,55,43,39,1,0
83,63,50,62,95,5,1
57,55,46,81,51,6,0
69,34,45,30,70,3,0
49,54,25,63,61,1,0
98,42,61,48,82,3,1
70,84,70,53,80,4,1
82,97,33,33,81,0,0
71,39,41,65,22,0,0
57,28,71,87,95,0,0
98,87,83,61,45,4,1
49,64,78,38,67,5,0
70,33,36,96,27,5,0
100,33,88,49,24,4,0
24,50,30,91,30,0,0
48,28,77,87,61,0,0
23,40,40,51,60,1,0
29,39,29,96,38,1,0
75,76,97,77,67,2,1
36,93,70,37,72,6,0
93,29,38,44,74,6,0
36,44,68,61,80,6,0
88,42,87,82,51,3,1
53,26,76,96,65,1,0
25,37,50,33,55,1,0
72,28,77,59,37,1,0
85,66,53,42,93,1,1
96,98,43,50,37,4,1
62,85,71,70,31,2,0
94,32,32,48,91,1,0
42,91,47,77,65,5,0
74,87,59,92,74,3,1
99,33,77,49,57,6,1
94,35,82,93,97,1,1
35,66,29,66,21,4,0
27,37,40,60,28,5,0
23,60,41,47,24,6,0
23,37,56,49,38,0,0
75,36,76,40,90,0,0
44,61,44,73,58,6,0
86,98,90,93,61,2,1
86,97,25,63,36,0,0
46,76,82,94,82,1,1
51,95,68,84,65,6,1
69,26,30,30,39,4,0
80,80,74,67,89,2,1
70,84,96,38,27,5,1
38,47,44,100,38,1,0
40,64,38,46,51,0,0
24,88,29,81,38,3,0
61,47,65,47,43,1,0
80,53,64,92,43,3,0
41,75,58,62,75,5,0
40,93,69,33,100,3,1
89,55,95,81,37,5,1
20,74,95,38,31,2,0
24,44,51,93,60,4,0
31,79,68,59,67,0,0
65,26,57,37,83,0,0
53,49,57,34,35,1,0
68,37,68,92,99,6,1
97,94,44,30,42,0,0
64,91,60,44,58,2,0
46,82,31,67,52,0,0
92,99,56,71,43,1,1
45,88,91,75,80,0,1
66,93,63,82,74,4,1
75,83,48,55,80,5,1
82,84,94,90,59,3,1
67,86,78,96,77,3,1
80,40,62,83,91,5,1
100,92,98,51,93,3,1
45,39,99,55,20,4,0
55,79,56,89,44,2,0
20,59,69,68,72,1,0
27,79,85,65,80,4,1
71,38,94,50,65,1,0
98,73,77,70,93,2,1
66,31,75,77,79,4,1
75,54,100,55,70,0,1
33,73,80,92,92,6,1
47,40,51,65,67,2,0
97,75,62,53,59,3,1
21,96,86,50,26,4,0
45,66,42,47,94,2,0
33,41,88,44,38,2,0
78,87,54,35,34,4,0
75,69,73,72,89,3,1
26,31,65,60,80,5,0
22,51,37,57,75,3,0
42,34,58,37,29,2,0
37,58,49,58,65,1,0
57,60,90,50,99,5,1
34,49,42,87,94,5,0
83,30,29,89,76,2,0
47,48,43,79,54,4,0
93,42,66,60,91,4,1
58,30,42,76,22,4,0
76,53,56,63,85,3,1
36,49,45,31,72,0,0
63,79,34,96,97,4,1
44,70,61,81,71,4,0
36,48,73,36,72,5,0
32,99,37,48,73,1,0
44,50,79,44,66,1,0
87,52,41,77,22,2,0
29,27,33,43,84,2,0
86,99,68,32,34,2,0
37,62,70,79,53,4,0
53,85,32,83,69,1,0
27,75,61,35,52,2,0
59,72,43,78,92,1,1
61,45,87,52,22,4,0
60,78,70,49,21,5,0
25,80,95,89,23,4,0
71,83,50,74,35,2,0
45,96,70,90,73,4,1
83,75,70,85,52,4,1
78,44,99,31,28,1,0
75,83,38,74,76,0,1
78,95,87,69,59,3,1
89,33,96,53,71,2,1
52,25,27,58,35,6,0
72,53,52,96,27,0,0
41,87,53,97,79,5,1
40,96,42,95,55,6,1
89,80,59,83,22,2,0
89,92,100,82,34,0,1
23,59,71,78,42,4,0
94,27,29,61,22,2,0
81,31,99,90,49,0,1
81,51,83,71,64,3,1
43,25,99,30,36,4,0
74,95,83,92,77,2,1
28,68,71,64,77,5,0
22,65,37,80,76,5,0
50,99,57,100,26,2,0
59,66,86,74,58,0,0
55,57,40,94,97,2,1
43,74,68,43,77,6,0
25,87,82,32,75,4,0
85,61,30,53,34,1,0
94,83,39,94,63,5,1
23,72,28,77,31,0,0
98,29,80,39,27,3,0
25,72,88,42,99,2,0
70,27,92,43,60,4,0
81,71,58,39,53,2,0
76,86,80,69,65,3,1
85,38,56,52,48,4,0
98,87,33,84,35,3,1
94,85,87,92,24,4,1
27,55,96,100,24,1,0
45,41,57,71,49,5,0
70,48,45,95,69,4,0
64,47,79,76,24,3,0
63,74,100,81,32,0,1
24,94,81,47,68,5,0
89,51,26,47,69,6,0
45,39,37,53,33,1,0
87,74,28,52,65,2,0
38,60,74,41,53,1,0
39,32,72,52,90,1,0
31,27,54,50,66,2,0
66,86,53,93,79,4,1
20,71,32,63,93,1,0
33,85,36,31,98,5,0
83,56,65,98,100,1,1
57,37,50,60,30,0,0
56,25,74,97,69,5,0
30,58,26,99,23,0,0
96,86,79,48,60,5,1
22,95,80,42,78,3,0
52,55,38,94,79,2,0
25,88,30,35,100,5,0
69,49,85,100,81,5,1
29,62,36,56,44,4,0
24,38,37,81,98,4,0
42,32,43,77,52,3,0
29,78,68,97,38,4,0
63,26,83,73,76,6,1
21,80,61,46,34,6,0
32,85,49,67,60,4,0
59,46,40,39,88,6,0
21,59,62,83,99,0,0
84,40,67,35,79,6,0
82,74,38,35,41,4,0
92,67,30,81,62,4,1
36,41,47,44,51,6,0
28,82,84,97,32,3,0
94,26,36,86,57,3,0
34,28,37,85,45,1,0
43,63,30,36,100,4,0
57,30,87,80,24,4,0
54,93,62,87,68,5,1
68,93,74,93,24,4,1
88,44,76,55,90,0,1
81,88,64,87,67,6,1
79,40,32,60,37,5,0
69,75,85,95,25,4,1
97,61,32,42,85,0,0
94,97,58,47,96,1,1
28,93,84,42,61,5,0
53,66,81,53,71,6,1
95,81,70,86,30,6,1
54,90,46,58,45,2,0
20,33,64,85,40,4,0
59,88,69,83,85,5,1
83,46,79,34,59,6,0
41,58,75,64,75,3,0
79,79,29,48,70,5,0
83,53,37,84,39,3,0
91,62,52,98,100,4,1
30,42,86,73,99,0,0
33,95,48,67,76,3,0
79,89,31,91,24,5,0
49,25,62,51,33,5,0
54,28,61,69,43,6,0
56,28,92,55,87,3,0
24,51,66,34,71,1,0
97,67,29,83,67,6,1
45,83,88,78,66,1,1
81,56,74,32,79,1,0
23,57,39,67,92,3,0
61,52,97,43,22,3,0
37,79,77,76,28,5,0
59,84,49,43,43,4,0
91,94,33,67,23,4,0
58,86,62,93,28,0,0
33,58,46,73,20,3,0
51,80,73,99,54,6,1
70,37,92,94,93,6,1
57,80,39,54,31,4,0
42,42,89,45,37,4,0
82,78,78,44,97,1,1
34,67,54,32,29,1,0
44,63,44,96,93,6,1
36,85,57,66,37,6,0
85,66,31,84,43,1,0
97,42,32,67,20,2,0
72,47,52,92,98,4,1
70,78,69,30,91,1,1
58,54,97,100,35,1,0
70,82,98,48,34,3,1
89,92,35,81,81,6,1
25,91,55,59,24,5,0
86,95,36,84,64,1,1
26,42,75,43,71,3,0
70,31,68,42,90,0,0
91,64,74,56,26,1,0
61,94,41,38,46,5,0
83,89,59,70,32,3,1
34,92,25,77,36,5,0
48,73,53,41,63,1,0
52,76,75,39,32,0,0
46,53,88,35,92,1,0
55,45,28,63,24,3,0
48,33,52,81,52,0,0
57,71,40,70,23,0,0
76,100,87,35,45,0,1
46,66,100,31,87,2,1
74,75,77,44,35,3,0
52,80,41,46,41,2,0
87,75,64,45,55,5,1
85,94,37,57,77,0,1
29,44,76,39,74,2,0
24,51,82,39,54,1,0
93,62,61,39,44,2,0
57,96,100,57,91,4,1
32,89,85,53,100,5,1
50,78,58,48,80,0,0
66,48,94,97,37,0,0
71,71,41,85,77,6,1
75,95,44,96,95,5,1
34,87,97,71,76,5,1
48,81,83,41,82,3,1
27,79,93,47,31,1,0
24,84,57,52,30,6,0
48,86,41,35,32,5,0
66,54,81,82,54,6,1
87,46,25,71,46,5,0
95,99,37,95,86,6,1
64,53,51,59,64,3,0
21,65,94,38,93,5,0
46,66,83,71,100,2,1
55,89,30,63,86,4,0
55,55,47,69,41,4,0
45,54,34,46,97,4,0
62,42,75,58,61,5,0
46,41,43,79,39,6,0
88,62,75,78,67,4,1
39,38,92,90,37,1,0
30,80,66,75,96,2,1
93,46,81,75,89,4,1
57,91,92,46,93,0,1
25,80,62,95,25,5,0
91,43,86,34,58,2,0
42,81,31,83,30,1,0
66,68,95,45,44,4,0
65,59,74,36,74,1,0
31,25,76,37,77,5,0
32,76,50,67,56,4,0
81,94,50,83,35,0,0
79,61,43,44,89,2,0
62,89,33,79,92,6,1
95,75,85,85,56,0,1
87,25,44,38,72,4,0
